"ID","IMAGE_FILE_PURPOSE","FILE_PATH","FILE_NAME"
"16","1","/usr/local/tomcat/webapps/ROOT/images/top/slideshowimage/SqACZqvgZIimage.jpg","SqACZqvgZIimage.jpg"
"17","1","/usr/local/tomcat/webapps/ROOT/images/top/slideshowimage/RTitZrrfLMimage.jpg","RTitZrrfLMimage.jpg"
"18","1","/usr/local/tomcat/webapps/ROOT/images/top/slideshowimage/UhJPFbllGIimage.jpg","UhJPFbllGIimage.jpg"
"19","2","/Users/Hiroaki/Dropbox/app/workspace/TsuboneSystem/src/main/webapp/images/top/announce/fkwwVUvdTj20131003215119524d6847-1598-4485-bd0a-19c1c0a82c74.jpg","fkwwVUvdTj20131003215119524d6847-1598-4485-bd0a-19c1c0a82c74.jpg"
"20","3","/Users/Hiroaki/Dropbox/app/workspace/TsuboneSystem/src/main/webapp/images/top/announce/zTHFLgzvXV20131003215119524d6847-1598-4485-bd0a-19c1c0a82c74.jpg","zTHFLgzvXV20131003215119524d6847-1598-4485-bd0a-19c1c0a82c74.jpg"
